order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1001,101,1,185000,5
2,1001,103,2,3500,0
3,1002,105,1,42000,10
4,1002,104,1,8500,0
5,1003,102,1,145000,5
6,1004,106,2,38000,10
7,1004,103,1,3500,0
8,1005,107,1,52000,0
9,1006,107,1,52000,5
10,1006,104,2,8500,0
11,1007,108,1,28000,15
12,1008,110,2,12000,0
13,1009,101,1,185000,8
14,1009,103,1,3500,0
15,1010,109,2,30000,5
16,1011,106,1,38000,0
17,1012,105,2,42000,10
18,1012,104,1,8500,5
19,1013,102,1,145000,0
20,1014,107,1,52000,10
21,1014,103,3,3500,0
22,1015,101,1,185000,5
23,1015,108,1,28000,0
