payment_id,order_id,payment_date,payment_method,payment_status,amount
5001,1001,1/5/2025,Card,Paid,191500
5002,1002,1/7/2025,JazzCash,Paid,46300
5003,1003,1/10/2025,Bank Transfer,Paid,137750
5004,1004,1/15/2025,Card,Paid,71850
5005,1005,1/18/2025,Card,Failed,0
5006,1006,2/2/2025,Cash on Delivery,Paid,66950
5007,1007,2/8/2025,Easypaisa,Paid,23800
5008,1008,2/14/2025,Card,Pending,24000
5009,1009,2/20/2025,Bank Transfer,Paid,173700
5010,1010,3/3/2025,Card,Paid,57000
5011,1011,3/9/2025,Card,Refunded,38000
5012,1012,3/15/2025,JazzCash,Paid,76450
5013,1013,3/21/2025,Bank Transfer,Paid,145000
5014,1014,4/4/2025,Cash on Delivery,Paid,57350
5015,1015,4/12/2025,Card,Paid,212750
